,Reference,year,names
0,1 Chile 101 84 0 Arroyo et al. (1982),1982,Arroyo
1,2 Chile 64 43 0 Arroyo et al. (1982),1982,Arroyo
2,3 Chile 25 36 0 Arroyo et al. (1982),1982,Arroyo
3,4 Canada 102 12 0 Barrett & Helenurm (1987),1987,Barrett
4,5 United States 275 96 1 Clements & Long (1923),1923,Clements
5,6 United Kingdom 61 17 2 Dicks et al. (2002),2002,Dicks
6,7 United Kingdom 36 16 1 Dicks et al. (2002),2002,Dicks
7,8 Canary Islands (Spain) 38 11 0 Dupont et al. (2003),2003,Islands
8,9 Sweden 118 24 0 Elberling & Olesen (1999),1999,Elberling
9,10 Greenland 76 31 0 Elberling & Olesen (unpubl.),unknown,Elberling
10,11 Mauritius 13 14 2 Olesen et al. (2002),2002,Olesen
11,12 Canary Islands (Spain) 55 29 0 Olesen (unpubl.),unknown,Islands
12,13 South Africa 56 9 0 Ollerton et al. (2003),2003,Ollerton
13,14 Canada 81 29 0 Hocking (1968),1968,Hocking
14,15 Greece 666 131 1 Petanidou (1991),1991,Petanidou
15,16 Spain 179 26 0 Herrera (1988),1988,Herrera
16,17 United Kingdom 79 25 1 Memmott (1999),1999,Memmott
17,18 Denmark 105 39 6 Olesen (unpubl.),unknown,Olesen
18,19 Australia 85 40 1 Inouye & Pyke (1988),1988,Inouye
19,20 Canada 91 20 0 Kevan (1970),1970,Kevan
20,21 Japan 677 91 1 Kato et al. (1990),1990,Kato
21,22 Argentina 45 21 0 Medan et al. (2002),2002,Medan
22,23 Argentina 72 23 0 Medan et al. (2002),2002,Medan
23,24 Canada 18 11 0 Mosquin & Martin (1967),1967,Mosquin
24,"25 United States 44 13 0 Motten (1982, 1986)",1982,Motten
25,26 Galapagos Islands (Ecuador) 54 105 4 McMullen (1993),1993,Islands
26,27 New Zealand 60 18 0 Primack (1983),1983,Primack
27,28 New Zealand 139 41 4 Primack (1983),1983,Primack
28,29 New Zealand 118 49 1 Primack (1983),1983,Primack
29,30 Venezuela 53 28 0 Ramirez & Brito (1992),1992,Ramirez
30,31 Venezuela 49 48 0 Ramirez (1989),1989,Ramirez
31,32 United States 33 7 0 Schemske et al. (1978),1978,Schemske
32,33 Canada 34 13 0 Small (1976),1976,Small
33,34 Chile 128 26 0 Smith-Ramirez et al. (2005),2005,not found
34,35 Jamaica 36 61 0 Percival (1974),1974,Percival
35,36 Azores (Portugal) 12 10 3 Olesen (unpubl.),unknown,Azores
36,37 Denmark 40 10 2 Montero (2005),2005,Montero
37,38 Denmark 42 8 0 Montero (2005),2005,Montero
38,39 Canary Islands (Spain) 51 17 1 Stald (2003),2003,Islands
39,40 Jamaica 43 29 0 Ingversen (2006),2006,Ingversen
40,41 Dominica 43 31 0 Ingversen (2006),2006,Ingversen
41,42 Galapagos Islands (Ecuador) 6 12 1 Philipp et al. (2006),2006,Islands
42,43 Denmark 82 28 4 Montero (2005),2005,Montero
43,44 Japan 609 110 2 Kato (2000),2000,Kato
44,45 Greenland 26 17 0 Lundgren & Olesen (2005),2005,Lundgren
45,46 Denmark 44 16 0 Bundgaard (2003),2003,Bundgaard
46,47 Denmark 186 19 1 Dupont & Olesen (2009),2009,Dupont
47,48 Denmark 236 30 2 Dupont & Olesen (2009),2009,Dupont
48,49 Denmark 225 37 2 Bek (2006),2006,Bek
49,50 Canary Islands (Spain) 35 14 0 Stald (2003),2003,Islands
50,51 Argentina 90 14 0 VÂ´azquez (2002),2002,not found
51,52 Greenland 39 15 0 Witt (1998),1998,Witt
52,53 Japan 294 99 0 Yamazaki & Kato (2003),2003,Yamazaki
53,54 Japan 318 113 2 Kakutani et al. (1990),1990,Kakutani
54,55 Japan 195 64 1 Kato & Miura (1996),1996,Kato
55,56 Japan 365 91 0 Kato (1993),1993,Kato
56,57 Japan 883 114 1 Inoue et al. (1990),1990,Inoue
57,58 Spain 81 32 1 Bartomeus et al. (2008),2008,Bartomeus
58,59 Brazil 13 13 0 Bezerra et al. (2009),2009,Bezerra
